n,m,k,len(output),len(covered),b0,b1,epsilon,time
1986,100,10,10,1292,640,652,1.01875,79.4032723903656
200,100,10,11,142,72,70,1.0285714285714285,0.3828577995300293
500,100,10,15,371,184,187,1.016304347826087,12.49039626121521
1000,100,10,10,665,320,345,1.078125,53.64288401603699
1500,100,10,10,988,490,498,1.0163265306122449,31.47157573699951
1986,100,10,14,1539,766,773,1.0091383812010444,83.47841811180115
200,100,10,11,147,73,74,1.0136986301369864,0.7956039905548096
500,100,10,9,268,136,132,1.0303030303030303,13.07568907737732
1000,100,10,8,596,288,308,1.0694444444444444,55.62100052833557
1500,100,10,7,803,404,399,1.012531328320802,50.94273233413696
1986,100,10,11,1386,696,690,1.008695652173913,93.25918626785278
200,100,10,13,159,76,83,1.0921052631578947,0.7772433757781982
500,100,10,11,339,165,174,1.0545454545454545,8.65941858291626
1000,100,10,8,571,283,288,1.017667844522968,43.42613744735718
1500,100,10,11,1041,522,519,1.0057803468208093,31.447926998138428
1986,100,10,15,1572,794,778,1.0205655526992288,83.31114029884338
200,100,10,9,124,68,56,1.2142857142857142,0.7427480220794678
500,100,10,11,335,159,176,1.1069182389937107,12.151428937911987
1000,100,10,8,588,283,305,1.0777385159010602,56.81321454048157
1500,100,10,12,1081,546,535,1.0205607476635514,54.453044176101685
1986,100,10,11,1376,682,694,1.0175953079178885,75.04538702964783
200,100,10,13,152,77,75,1.0266666666666666,1.343674898147583
500,100,10,7,259,125,134,1.072,14.13943338394165
1000,100,10,11,657,329,328,1.0030487804878048,45.768126249313354
1500,100,10,11,1035,514,521,1.0136186770428015,43.458887338638306
1986,100,10,14,1532,766,766,1.0,76.52683210372925
