n,m,k,budget,len(output)_avg,len(covered)_avg,epsilon_avg,time_avg,len(output)_std,len(covered)_std,epsilon_std,time_std
200,100,10,200,9.7,136.2,0.0,0.09680275917053223,1.7349351572897471,13.249905660041508,0.0,0.021367318525534612
500,100,10,500,9.6,297.0,0.0,0.7009430170059204,2.0099751242241783,39.13310618900575,0.0,0.41811833162202333
1000,100,10,1000,10.8,646.8,0.0,40.41063625812531,2.6758176320519307,89.46150009920468,0.0,20.45917340678048
1500,100,10,1500,11.5,1045.2,0.0,48.97698600292206,1.857417562100671,80.27552553549556,0.0,6.205781890574607
1986,100,10,1986,11.1,1362.4,0.0,92.32864837646484,2.071231517720798,120.96214283816239,0.0,7.772120378305127
