n,m,k,len(covered),b0,b1,epsilon,time
200,100,10,200,0.16010832786560059
500,100,10,500,1.321171522140503
1000,100,10,1000,4.067057132720947
1500,100,10,1500,6.561538457870483
1986,100,10,1986,14.404304265975952
1000,50,10,1000,2.847118854522705
1000,100,10,1000,3.8800485134124756
1000,150,10,1000,5.351956605911255
1000,200,10,1000,5.977881193161011
1000,100,5,1000,4.1540608406066895
1000,100,10,1000,3.0757534503936768
1000,100,15,1000,4.538222312927246
1000,100,20,1000,3.461416482925415
1000,100,25,1000,3.940967559814453
