n,m,k,budget,len(output)_avg,len(covered)_avg,epsilon_avg,time_avg,len(output)_std,len(covered)_std,epsilon_std,time_std
1000,50,10,1000,10.2,602.6,0.0,30.54144434928894,2.181742422927143,81.54041942496984,0.0,8.703744995667583
1000,100,10,1000,8.5,582.8,0.0,45.83730127811432,1.4317821063276353,61.46348509481056,0.0,5.028291782503186
1000,150,10,1000,11.8,691.8,0.0,53.43670287132263,2.5612496949731396,67.15623574918416,0.0,4.188988839985944
1000,219,10,1000,11.7,688.2,0.0,65.28894979953766,2.9342801502242417,79.95723857162653,0.0,36.296929699915545
