n,m,k,len(output),len(covered),b0,b1,epsilon,time,avgo,avgc,b0_avg,b1_avg,ep_avg,time_avg,lo_std,lc_std,b0_std,b1_std,ep_std,time_std
1000,50,10,9,557,273,284,1.04029304,7.956752777,10.36666667,614.3666667,300.8,313.5666667,1.047299414,19.18841443,2.311639713,91.71262589,45.13000378,47.21022926,0.032139091,11.00663456
1000,100,10,10,638,318,320,1.006289308,14.11836386,9.466666667,619.7666667,302.3666667,317.4,1.054945962,30.40895043,2.417370092,79.93733897,40.79087401,40.02292447,0.041258758,17.13596819
1000,150,10,12,700,337,363,1.077151335,18.93456769,10.4,657,322.5333333,334.4666667,1.048844944,34.73134602,2.343001317,77.81809026,37.53594446,41.79979651,0.039909473,17.323297
1000,219,10,14,765,373,392,1.050938338,26.60548806,10.6,662.1666667,328.5333333,333.6333333,1.030049036,63.21933136,2.40114915,79.70682631,39.88840756,40.59852497,0.027706706,35.2923927
