n,m,k,len(output),len(covered),b0,b1,epsilon,time,avgo,avgc,b0_avg,b1_avg,ep_avg,time_avg,lo_std,lc_std,b0_std,b1_std,ep_std,time_std
1000,100,5,6,501,245,256,1.044897959,41.06187224,4.733333333,448.2333333,219.2333333,229,1.063928207,31.74034404,1.362890775,80.67887957,40.36871726,41.36131793,0.048980605,17.10052811
1000,100,10,13,749,368,381,1.035326087,30.44811463,10.43333333,648.3,316.1333333,332.1666667,1.053916849,25.42764249,2.541833893,89.64495101,44.25999465,45.8423711,0.028864108,13.35163707
1000,100,15,15,710,358,352,1.017045455,57.08732915,14.86666667,711.3666667,352.2666667,359.1,1.030248696,32.08729661,2.635740207,70.05391192,32.96072201,37.7243633,0.017941033,17.12661652
1000,100,20,19,741,357,384,1.075630252,41.46681905,19.66666667,762.5333333,376.2666667,386.2666667,1.037815562,25.46407582,4.998850443,80.02315757,38.5011718,42.48807811,0.025501386,14.68142792
1000,100,25,27,854,420,434,1.033333333,49.86651731,25.73333333,835.0333333,411.9666667,423.0666667,1.02962484,27.73277602,4.209458425,51.29595221,26.36675458,25.69306002,0.01934944,16.76511146
